filename,mean,std,var,median,iqr,mad,skew,kurtosis,entropy,min,max,range,hist_mean,hist_std,hist_entropy,hist_skew,hist_kurtosis,hist_max_bin,contrast_0,contrast_45,contrast_90,contrast_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,correlation_0,correlation_45,correlation_90,correlation_135,ASM_0,ASM_45,ASM_90,ASM_135,energy_0,energy_45,energy_90,energy_135
10000.png,50.69806671142578,86.02431525723563,7400.1828154762625,0.0,116.0,0.0,1.4051871320726768,0.5108933063713161,1.4866968989954499,0,255,255,16384.0,44305.563045175266,1.157175103901455,3.4671335385483517,10.373558831845697,185806,1327.3267483221268,1044.127308776665,745.7665732029269,1048.6811827019253,0.7978219180853326,0.802916393253164,0.8064812967633236,0.8037185796280953,0.9105153367321419,0.9297835237813956,0.9498002916528883,0.9294767994195775,0.48909298864700745,0.4912806535750769,0.49516452782356984,0.49155376140559764,0.69934138345999,0.7008937210222276,0.7036735940780172,0.7010891876055733
10001.png,56.35309600830078,79.62463150603347,6340.081942471617,0.0,111.0,0.0,1.2600186653109042,0.6067988509685214,1.9777512553085164,0,255,255,16384.0,37741.095651822296,1.394685822475036,3.2386169439278127,9.300056423306595,157686,617.6291924990759,639.3741332574699,672.9732783511696,579.0181537864338,0.6982414031268537,0.7036475617847998,0.703001705117869,0.7056484756133363,0.9514464561031373,0.9498099381040234,0.9470950134248165,0.9545492178020409,0.35563356667659735,0.35507203834586926,0.355627822941591,0.3552179369205921,0.5963449538969683,0.5958661056295336,0.5963405015581005,0.5959885775944677
10004.png,28.70950698852539,76.47068648022785,5847.765890757302,0.0,0.0,0.0,2.4883299890927524,4.4260998610557865,0.7478525054682106,0,255,255,16384.0,53876.99621243746,0.6312860347445091,3.547315099644938,10.743089972349324,223831,1270.535003433311,1122.818408210217,934.2865698884947,1106.7367591688392,0.9236591180243767,0.926157420077017,0.9291264534854666,0.9268268341073661,0.8919535810185604,0.9047562852875138,0.9205510883621765,0.9061207584579943,0.7078156655247009,0.7095052898652351,0.7123943205004317,0.7100926217369224,0.841310421719533,0.8423042891763788,0.8440285201973744,0.8426534076309533
10005.png,61.56248474121094,83.45744240853779,6965.144693374401,0.0,126.0,0.0,1.0204213527965107,-0.19356632138004315,2.058666570218104,0,255,255,16384.0,37056.69361431211,1.5147786953386118,3.335253262768117,9.769753461281308,156441,1398.3175660651405,1203.9115699363235,960.628351671909,1141.7423275394815,0.6745705466887343,0.6823564676968882,0.6868258235834603,0.6828250489588377,0.8997932694677574,0.9138654552503721,0.9312138615012717,0.9183133871368484,0.33975146452317034,0.34119596903072624,0.3446399553380681,0.3415357404317861,0.5828670060275226,0.5840869705153952,0.5870508173858813,0.5843800743205325
10006.png,61.17403030395508,90.16258591549854,8129.291898969655,0.0,122.0,0.0,1.152791263538234,-0.13285213718239897,2.0239649386517082,0,255,255,16384.0,39104.768865190854,1.4646230143507997,3.4031135758821547,10.054409850685694,165010,1042.0705633398184,908.7361707169767,913.3153779682619,913.9066140859264,0.7252462982113475,0.7324135065517696,0.7317153488763884,0.730764278614425,0.9361263789938602,0.9443903147126527,0.9440200206364203,0.9440732295931497,0.37435071733138175,0.3774759791566799,0.37987220956486184,0.3768289425469411,0.6118161361568505,0.6143362321897418,0.616317329593971,0.6138071965215101
10008.png,44.740726470947266,83.1140298578612,6907.941959213444,0.0,70.0,0.0,1.670218268292677,1.3449557452024434,1.482721202876475,0,255,255,16384.0,45809.92075549793,1.13196153678732,3.5099112966071693,10.569872026231199,192205,1179.6484211473814,1144.0068703177733,1048.1832853494427,922.1023940809064,0.8068123129367782,0.8096036650320132,0.8107150927349407,0.812393088577477,0.9150001211485769,0.9177373662938981,0.9244731755283562,0.933697476507775,0.5141798396786945,0.5155492835281668,0.518280013041621,0.5180941545337383,0.7170502622646455,0.717988008671504,0.7199060727121432,0.7197608917787727
10009.png,27.389652252197266,73.8222003340207,5449.717262156288,0.0,0.0,0.0,2.495529370795798,4.5629454291069775,0.6889836649049753,0,255,255,16384.0,54793.11666966025,0.5852577739990474,3.568045848167164,10.845804884345306,227753,441.5104482970055,376.7540818361834,277.5432687104563,381.841087884591,0.9421340440154955,0.9433147223793705,0.9443902969402621,0.9428175303420258,0.9597135943009284,0.9657125521014032,0.9746770488226986,0.9652488007881334,0.7502704479133807,0.7506801364655756,0.7523499148295784,0.7502246787512344,0.8661804892106103,0.8664155171849051,0.8673803515125762,0.8661524277618874
10010.png,41.67273712158203,71.41934510385192,5100.722855063097,0.0,92.0,0.0,1.7523778591899564,2.2984137908099473,1.7714424192419278,0,255,255,16384.0,42671.32437158472,1.2429010873419941,3.4529688337653854,10.313496562318402,179370,904.7612227980185,699.765759127789,498.4434702408885,737.507115747354,0.7504354595902331,0.7592979493383024,0.7618884619547371,0.7575711632102506,0.9116813287554462,0.931825248276457,0.9513448931105999,0.9281484856142646,0.4510394916832708,0.4531023516270172,0.4566494283835964,0.45234219512480656,0.6715860428299223,0.6731111531538599,0.6757533767064737,0.6725445696333466
10011.png,53.913902282714844,74.98172356188545,5622.258868311008,0.0,116.0,0.0,1.1462781436399052,0.3659902609407846,2.0907250558368244,0,255,255,16384.0,37850.873556630104,1.4619594789873531,3.354868210122826,9.863089506533463,159704,825.2843354405142,686.7487035853052,739.7785525769946,753.211166998915,0.6590980388107853,0.6650607614091621,0.6646122729990736,0.6628920989053184,0.9268277544327247,0.9391956296233258,0.9344098146070979,0.9333103023290573,0.35492137515349675,0.35599973776805954,0.357326763443103,0.35524352552483557,0.595743454543443,0.5966373095779596,0.5977613059984144,0.595999983682925
10012.png,71.45492553710938,85.1506299527027,7250.6297813421115,10.0,113.0,10.0,0.9320909624708574,-0.23404362911256893,2.454783549843089,0,255,255,16384.0,31470.76693734997,1.7102283411978845,3.000528824052481,8.181300443379497,131390,1609.6005033296349,1398.489051827273,1510.4715762423746,1566.2171515135176,0.600871737207564,0.6095985662302501,0.605384129066404,0.6066806934209154,0.8890816155852962,0.9036649539743008,0.8959011368003899,0.8921117939008977,0.2341840210287007,0.23603844737473886,0.23663898654371388,0.23493494539972315,0.483887253942818,0.48576143236001906,0.48642427743829647,0.4846027562064365
